GEOID,REPDIST,section,from_total,to_total,count_weight,proportion_weight
6037197700,101,5008,5103,5008,0.9813835,1
6037206010,105,1318,3127,1318,0.421490246,1
6037980010,109,79,164,79,0.481707317,1
6037207101,111,3047,3047,7677,1,0.396899831
6037207103,111,2077,2077,7677,1,0.270548391
6037207102,111,2553,2553,7677,1,0.332551778
6037207400,112,15,1363,15,0.011005136,1
6037206010,118,1398,3127,1398,0.447073873,1
6037206020,119,7883,7883,7883,1,1
6037207400,121,15,1363,15,0.011005136,1
6037207400,122,8,1363,8,0.005869406,1
6037207400,123,11,1363,11,0.008070433,1
6037207400,124,4,1363,4,0.002934703,1
6037207400,127,1274,1363,1274,0.934702861,1
6037206200,128,337,3386,337,0.099527466,1
6037206031,129,21,2957,21,0.007101792,1
6037207501,131,971,2218,971,0.437781785,1
6037207400,132,36,1363,3209,0.026412326,0.011218448
6037207501,132,1247,2218,3209,0.562218215,0.388594578
6037207502,132,1926,2589,3209,0.74391657,0.600186974
6037207301,133,176,4521,176,0.03892944,1
6037207301,134,179,4521,179,0.03959301,1
6037207302,135,429,3791,429,0.113162754,1
6037206200,138,1694,3386,1694,0.500295334,1
6037206031,139,1637,2957,1637,0.553601623,1
6037207502,142,663,2589,663,0.25608343,1
6037207301,143,106,4521,106,0.02344614,1
6037207302,144,813,3791,813,0.214455289,1
6037207302,145,259,3791,259,0.068319705,1
6037206200,146,568,3386,568,0.167749557,1
6037206200,147,326,3386,326,0.096278795,1
6037206200,148,461,3386,461,0.136148848,1
6037207710,151,1,2490,1,0.000401606,1
6037207710,152,749,2490,749,0.300803213,1
6037207301,153,2532,4521,2532,0.560053086,1
6037207302,154,1312,3791,1312,0.346082828,1
6037206300,155,159,7540,159,0.021087533,1
6037206300,156,2692,7540,2692,0.357029178,1
6037206300,157,765,7540,765,0.101458886,1
6037206300,158,1658,7540,1658,0.219893899,1
6037206031,159,995,2957,995,0.336489685,1
6037207710,161,2,2490,2,0.000803213,1
6037207710,162,1620,2490,1620,0.65060241,1
6037207301,163,1034,4521,1034,0.228710462,1
6037207302,164,978,3791,978,0.257979425,1
6037206300,165,49,7540,49,0.006498674,1
6037206300,166,2217,7540,2217,0.29403183,1
6037207710,171,118,2490,118,0.047389558,1
6037207301,174,494,4521,494,0.109267861,1
6037226002,176,409,1604,409,0.254987531,1
6037207900,182,3818,4163,3818,0.917127072,1
6037207900,185,345,4163,345,0.082872928,1
6037224010,191,135,2433,384,0.055487053,0.3515625
6037224020,191,249,2789,384,0.089279312,0.6484375
6037224010,192,2098,2433,2289,0.862309905,0.916557449
6037224020,192,191,2789,2289,0.068483327,0.083442551
6037224010,195,200,2433,469,0.082203042,0.426439232
6037224020,195,269,2789,469,0.096450341,0.573560768
6037191500,201,5551,5551,5551,1,1
6037191410,202,5092,5092,5092,1,1
6037191420,203,3365,3365,3365,1,1
6037195903,204,2216,2216,6356,1,0.348646948
6037195902,204,1905,1905,6356,1,0.299716803
6037195901,204,2235,2235,6356,1,0.351636249
6037195803,205,2603,2603,5246,1,0.496187571
6037195804,205,2643,2643,5246,1,0.503812429
6037192610,211,4389,4389,4389,1,1
6037192700,212,3513,3513,3513,1,1
6037195802,215,2881,2881,2881,1,1
6037195710,216,4328,4328,4328,1,1
6037208402,217,454,2775,2758,0.163603604,0.164612038
6037195720,217,2304,2304,2758,1,0.835387962
6037197500,218,3889,3889,4253,1,0.914413355
6037208000,218,364,6893,4253,0.052807196,0.085586645
6037197600,219,2376,2376,2414,1,0.984258492
6037208000,219,38,6893,2414,0.005512839,0.015741508
6037192620,221,3868,3868,3868,1,1
6037208610,231,4195,4195,4195,1,1
6037208620,233,4660,4660,4660,1,1
6037208501,235,2656,2656,6227,1,0.426529629
6037208502,235,3571,3571,6227,1,0.573470371
6037208401,236,3770,3770,6091,1,0.618945986
6037208402,236,2321,2775,6091,0.836396396,0.381054014
6037208302,237,4360,4360,8189,1,0.532421541
6037208301,237,2201,2201,8189,1,0.268775186
6037208000,237,1628,6893,8189,0.236181634,0.198803273
6037208000,238,4566,6893,4566,0.662411142,1
6037208000,239,297,6893,297,0.04308719,1
6037208710,241,4309,4309,4309,1,1
6037208801,245,2995,2995,5901,1,0.507541095
6037208802,245,2906,2906,5901,1,0.492458905
6037208903,246,4019,4019,4019,1,1
6037208904,247,3926,3926,3926,1,1
6037209103,248,3216,3216,5650,1,0.56920354
6037209104,248,2434,2434,5650,1,0.43079646
6037209200,249,2785,2785,2785,1,1
6037208720,251,4179,4179,4179,1,1
6037208902,256,2339,2339,2339,1,1
6037209102,257,5267,5267,5267,1,1
6037209401,261,3914,3914,3914,1,1
6037209402,265,3728,3728,3728,1,1
6037209403,266,3600,3600,3600,1,1
6037209300,269,5021,5021,5021,1,1
6037209510,271,2692,2692,2692,1,1
6037209520,275,2791,2791,2791,1,1
6037210010,279,1823,3520,1823,0.517897727,1
6037209810,281,2472,2472,2472,1,1
6037209820,285,2968,2968,2968,1,1
6037210010,289,1697,3520,1697,0.482102273,1
6037224310,291,2025,2025,2025,1,1
6037224200,292,4,2392,5,0.001672241,0.8
6037224320,292,1,3224,5,0.000310174,0.2
6037224320,295,3223,3224,3223,0.999689826,1
6037224200,299,2388,2392,2388,0.998327759,1
6037219901,301,377,5234,1306,0.072029041,0.288667688
6037219902,301,929,4113,1306,0.225869195,0.711332312
6037219800,303,269,3310,269,0.081268882,1
6037219700,305,1068,4306,1084,0.24802601,0.985239852
6037218702,305,16,2176,1084,0.007352941,0.014760148
6037218702,307,599,2176,599,0.275275735,1
6037224410,308,3135,3140,3135,0.998407643,1
6037224410,309,5,3140,5,0.001592357,1
6037219901,311,3027,5234,6211,0.57833397,0.487361133
6037219902,311,3184,4113,6211,0.774130805,0.512638867
6037219800,312,3041,3310,4871,0.918731118,0.624307124
6037219901,312,1830,5234,4871,0.349636989,0.375692876
6037218702,313,1561,2176,1561,0.717371324,1
6037218900,314,5464,5464,5464,1,1
6037221401,315,3359,3359,3359,1,1
6037221500,316,3507,3507,3507,1,1
6037221601,317,3403,3403,3403,1,1
6037221710,318,2621,2621,2621,1,1
6037224420,319,2369,2369,2369,1,1
6037220100,321,2334,2334,2334,1,1
6037221810,325,2773,2773,2773,1,1
6037222200,326,3965,3965,3965,1,1
6037221820,327,3095,3095,3095,1,1
6037224700,328,4685,4856,4685,0.964785832,1
6037224700,329,171,4856,171,0.035214168,1
6037219700,331,3235,4306,3235,0.751277288,1
6037220000,332,2882,5345,2882,0.53919551,1
6037220000,333,2463,5345,2463,0.46080449,1
6037219300,334,3700,3700,3700,1,1
6037219010,335,2814,2814,2814,1,1
6037222001,336,3237,3237,3237,1,1
6037222100,337,3877,3877,3877,1,1
6037221900,338,3664,3664,3664,1,1
6037236000,341,3169,4113,3169,0.770483832,1
6037236000,343,944,4113,944,0.229516168,1
6037219700,351,3,4306,3,0.000696702,1
6037219500,353,1737,1737,1737,1,1
6037219020,354,4798,4798,4798,1,1
6037222002,355,4655,4655,4655,1,1
6037222500,356,4963,4963,4963,1,1
6037222600,357,5631,5631,5631,1,1
6037222700,358,3126,3748,3126,0.834044824,1
6037231100,359,305,3350,927,0.091044776,0.329018339
6037222700,359,622,3748,927,0.165955176,0.670981661
6037236202,361,6192,6192,6192,1,1
6037236203,362,3417,3417,6620,1,0.516163142
6037236204,362,3203,3203,6620,1,0.483836858
6037236100,363,5265,5265,5265,1,1
6037234200,373,2376,2376,2376,1,1
6037234000,374,3382,5335,3382,0.633926898,1
6037231400,375,4688,4688,4688,1,1
6037231300,376,5348,5348,5348,1,1
6037231210,377,3688,3688,3688,1,1
6037231220,378,2,3824,2,0.000523013,1
6037231220,379,3822,3824,3822,0.999476987,1
6037236400,391,4113,4113,4113,1,1
6037234502,392,2698,2698,5426,1,0.497235533
6037234501,392,2728,2728,5426,1,0.502764467
6037234300,393,4098,4098,4098,1,1
6037234000,394,1953,5335,1953,0.366073102,1
6037231500,395,4752,4752,4752,1,1
6037231710,396,4358,4358,4358,1,1
6037231600,397,7110,7110,7110,1,1
6037231720,398,4305,4966,4305,0.866894885,1
6037231720,399,661,4966,661,0.133105115,1
6037199400,401,1031,4668,1031,0.220865467,1
6037199300,402,1651,3848,1651,0.429054054,1
6037199300,403,453,3848,453,0.117723493,1
6037183702,404,2802,2802,2802,1,1
6037201302,406,3732,3732,3732,1,1
6037201301,407,3442,3442,3442,1,1
6037201200,408,2519,2519,2519,1,1
6037201110,409,791,2574,4888,0.307303807,0.161824877
6037201120,409,4097,4097,4888,1,0.838175123
6037199000,411,180,5066,180,0.035530991,1
6037199000,412,3817,5066,3817,0.753454402,1
6037199400,413,1237,4668,1237,0.264995716,1
6037199300,414,1744,3848,1744,0.453222453,1
6037199201,415,4089,4089,4090,1,0.999755501
6037199202,415,1,3031,4090,0.000329924,0.000244499
6037199202,416,3030,3031,3030,0.999670076,1
6037199110,417,2710,2710,2710,1,1
6037201110,418,1783,2574,1783,0.692696193,1
6037199700,421,3411,3411,3411,1,1
6037199800,422,5631,5631,5631,1,1
6037199900,423,2683,2683,2683,1,1
6037199120,424,4086,4086,4086,1,1
6037201503,426,3323,3323,3323,1,1
6037201401,427,4803,4803,4803,1,1
6037201504,428,2428,2428,2428,1,1
6037201501,429,5227,5306,5227,0.985111195,1
6037201402,437,4311,4311,4311,1,1
6037201601,438,2288,2288,5128,1,0.446177847
6037201602,438,2840,2840,5128,1,0.553822153
6037201700,439,5093,5093,5093,1,1
6037203500,441,32,3064,32,0.010443864,1
6037203300,442,520,2607,521,0.199462984,0.998080614
6037203500,442,1,3064,521,0.000326371,0.001919386
6037203300,443,1733,2607,1733,0.664748753,1
6037203300,445,354,2607,354,0.135788262,1
6037203100,448,4839,4839,4839,1,1
6037203200,449,4844,4844,4844,1,1
6037206032,451,1837,5275,1837,0.348246445,1
6037206032,452,591,5275,591,0.112037915,1
6037203500,453,3031,3064,3031,0.989229765,1
6037206032,454,1355,5275,1355,0.256872038,1
6037203600,455,5394,5394,5394,1,1
6037203710,456,3259,3259,3259,1,1
6037203720,457,4001,4001,4001,1,1
6037203800,459,4589,4589,4589,1,1
6037206032,461,1492,5275,1492,0.282843602,1
6037206050,462,828,2146,828,0.38583411,1
6037204410,463,2363,2363,2363,1,1
6037204420,464,3138,3138,3138,1,1
6037204120,465,2643,2650,2643,0.997358491,1
6037204200,466,3303,3303,3303,1,1
6037204300,467,4787,4787,4787,1,1
6037204110,468,3078,3078,3078,1,1
6037204120,469,7,2650,2951,0.002641509,0.002372077
6037203900,469,2944,2944,2951,1,0.997627923
6037206050,471,859,2146,859,0.40027959,1
6037204600,473,4051,4101,4051,0.987807852,1
6037204700,477,3555,4972,3555,0.715004023,1
6037204810,478,4478,4478,4478,1,1
6037204910,479,3105,3105,3105,1,1
6037204600,483,50,4101,50,0.012192148,1
6037204700,487,1417,4972,1417,0.284995977,1
6037204820,488,2274,2274,2274,1,1
6037205110,489,3766,3766,3766,1,1
6037206050,491,459,2146,459,0.2138863,1
6037205120,497,3618,3618,3618,1,1
6037204920,499,2598,2598,2598,1,1
6037291300,501,2601,2601,2601,1,1
6037294410,503,4579,4579,4579,1,1
6037292000,504,6538,6543,6538,0.999235825,1
6037292000,505,4,6543,4,0.00061134,1
6037293201,506,6629,6629,6629,1,1
6037293202,507,6742,6742,6742,1,1
6037293301,508,2805,2805,2805,1,1
6037293302,509,4720,4720,4720,1,1
6037293304,511,4178,4178,4178,1,1
6037293306,512,1520,2189,1520,0.694380996,1
6037980015,513,344,554,3510,0.620938628,0.098005698
6037294421,513,2950,2950,3510,1,0.84045584
6037294302,513,216,4754,3510,0.045435423,0.061538462
6037294301,514,2448,2448,6986,1,0.350415116
6037294302,514,4538,4754,6986,0.954564577,0.649584884
6037294200,515,4951,4951,4951,1,1
6037294520,516,3564,3564,3564,1,1
6037294610,517,4065,4065,4065,1,1
6037294110,518,4140,4140,4140,1,1
6037980014,519,40,239,2410,0.167364017,0.01659751
6037294120,519,2370,2370,2410,1,0.98340249
6037294900,521,367,3265,5452,0.112404288,0.067314747
6037980015,521,210,554,5452,0.379061372,0.038517975
6037295103,521,4875,4875,5452,1,0.894167278
6037294810,522,3991,3991,3991,1,1
6037980031,523,8,1262,8,0.006339144,1
6037294900,524,2898,3265,2898,0.887595712,1
6037294830,525,3707,3707,3707,1,1
6037294820,526,3579,3579,3579,1,1
6037294830,527,0,3707,0,0,
6037294620,528,4219,4219,4219,1,1
6037980014,529,199,239,3218,0.832635983,0.061839652
6037294701,529,3019,3019,3218,1,0.938160348
6037293306,531,669,2189,2975,0.305619004,0.22487395
6037293307,531,2306,2306,2975,1,0.77512605
6037294510,532,4214,4214,4214,1,1
6037296300,541,4221,4221,4221,1,1
6037296402,551,3091,3091,6282,1,0.492040751
6037296401,551,3191,3191,6282,1,0.507959249
6037296500,555,3910,3910,3910,1,1
6037296600,557,4038,5218,4038,0.773859716,1
6037296220,558,31,4307,3051,0.007197585,0.010160603
6037980031,558,1,1262,3051,0.000792393,0.000327761
6037296210,558,3019,3019,3051,1,0.989511636
6037980031,559,1025,1262,1025,0.812202853,1
6037297400,561,48,3603,1769,0.013322231,0.027133974
6037297000,561,1721,5343,1769,0.322103687,0.972866026
6037297000,562,3622,5343,3622,0.677896313,1
6037296902,563,3851,3851,7978,1,0.482702432
6037296901,563,4127,4127,7978,1,0.517297568
6037296220,564,4276,4307,4276,0.992802415,1
6037296600,565,1180,5218,1180,0.226140284,1
6037297110,566,4679,4679,4679,1,1
6037297120,567,3254,3315,3254,0.981598793,1
6037980031,569,209,1262,209,0.165610143,1
6037297400,581,3555,3603,3555,0.986677769,1
6037297300,583,2374,2374,3274,1,0.725106903
6037297500,583,900,5163,3274,0.174317257,0.274893097
6037297500,584,3229,5163,3229,0.625411582,1
6037297202,585,3423,3423,7932,1,0.431543116
6037297201,585,3475,3475,7932,1,0.43809884
6037297500,585,1034,5163,7932,0.20027116,0.130358043
6037297602,587,3503,3503,4399,1,0.796317345
6037297601,587,896,2594,4399,0.34541249,0.203682655
6037297120,589,61,3315,1764,0.018401207,0.034580499
6037980031,589,5,1262,1764,0.003961965,0.002834467
6037297601,589,1698,2594,1764,0.65458751,0.962585034
6037980031,599,14,1262,14,0.011093502,1
6037189701,615,1932,3942,2645,0.490106545,0.730434783
6037189400,615,455,3448,2645,0.131960557,0.172022684
6037189600,615,258,3529,2645,0.073108529,0.097542533
6037194300,621,482,3037,1842,0.158709253,0.261672096
6037261101,621,1360,3499,1842,0.388682481,0.738327904
6037194101,622,3091,3091,6549,1,0.471980455
6037194102,622,3458,3458,6549,1,0.528019545
6037189702,625,1839,2227,1839,0.825774585,1
6037189400,626,2,3448,1879,0.000580046,0.001064396
6037189600,626,1877,3529,1879,0.531878719,0.998935604
6037980009,627,2,14,2993,0.142857143,0.000668226
6037189400,627,2991,3448,2993,0.867459397,0.999331774
6037189500,628,4452,4452,4452,1,1
6037980009,629,1,14,1900,0.071428571,0.000526316
6037189300,629,1899,3077,1900,0.617159571,0.999473684
6037194300,631,1981,3037,1981,0.652288443,1
6037194300,632,574,3037,5465,0.189002305,0.105032022
6037189800,632,1303,4021,5465,0.324048744,0.238426349
6037194200,632,3588,3588,5465,1,0.656541629
6037189600,635,1394,3529,1394,0.395012751,1
6037190202,636,3044,3044,5914,1,0.514710856
6037190201,636,2870,2870,5914,1,0.485289144
6037191000,637,963,3228,963,0.298327138,1
6037190301,638,4758,4758,4758,1,1
6037190401,639,3135,3135,5622,1,0.557630736
6037190402,639,2487,2487,5622,1,0.442369264
6037189800,642,2718,4021,2718,0.675951256,1
6037189903,643,2164,2164,6728,1,0.321640904
6037189904,643,2260,2260,6728,1,0.335909631
6037189905,643,2304,2304,6728,1,0.342449465
6037189902,644,4971,4971,4971,1,1
6037189702,645,388,2227,4869,0.174225415,0.079687821
6037190100,645,4481,4481,4869,1,0.920312179
6037190700,646,3379,3379,3379,1,1
6037191000,647,2265,3228,2265,0.701672862,1
6037190510,648,4227,4227,4227,1,1
6037190520,649,3728,3728,3728,1,1
6037191810,656,3498,3498,3498,1,1
6037191720,657,3770,3770,3770,1,1
6037191110,659,3338,3338,3338,1,1
6037191901,663,3355,3355,3355,1,1
6037190801,666,2594,2594,5378,1,0.482335441
6037190802,666,2784,2784,5378,1,0.517664559
6037190902,667,3960,3960,3960,1,1
6037190901,668,4742,4742,4742,1,1
6037191120,669,4135,4135,4135,1,1
6037191820,676,2647,2647,2647,1,1
6037191710,677,3231,3231,3231,1,1
6037191610,678,4502,4502,4502,1,1
6037191620,679,2789,2789,2789,1,1
6037194401,701,2388,2461,5723,0.970337261,0.417263673
6037194402,701,3335,3335,5723,1,0.582736327
6037194401,702,73,2461,3644,0.029662739,0.020032931
6037192001,702,836,2466,3644,0.339010543,0.229418222
6037192002,702,2735,2735,3644,1,0.750548847
6037192001,705,1630,2466,1630,0.660989457,1
6037191902,706,2867,2867,2867,1,1
6037194500,711,2037,2037,2037,1,1
6037214400,713,2877,2877,2877,1,1
6037214000,714,837,3898,837,0.2147255,1
6037214000,715,875,3898,875,0.224474089,1
6037214100,717,1428,3944,1428,0.362068966,1
6037192300,719,2799,2799,2799,1,1
6037700801,721,186,5220,5855,0.035632184,0.03176772
6037214901,721,3083,3083,5855,1,0.526558497
6037214902,721,2586,2586,5855,1,0.441673783
6037214800,722,2573,2573,2573,1,1
6037214600,723,2411,2411,2411,1,1
6037214501,724,504,2932,504,0.171896317,1
6037214000,725,988,3898,988,0.253463315,1
6037214000,726,1198,3898,1198,0.307337096,1
6037214100,727,2516,3944,2516,0.637931034,1
6037211000,729,1346,4431,1346,0.303768901,1
6037214700,732,2512,2512,2512,1,1
6037215101,733,1127,2477,1127,0.45498587,1
6037214501,734,2428,2932,11281,0.828103683,0.215229146
6037214503,734,3325,3325,11281,1,0.294743374
6037214502,734,5528,5528,11281,1,0.49002748
6037215102,735,1257,3110,2607,0.404180064,0.482163406
6037215101,735,1350,2477,2607,0.54501413,0.517836594
6037215102,736,1853,3110,1853,0.595819936,1
6037211000,737,851,4431,851,0.192055969,1
6037211000,738,1366,4431,1366,0.308282555,1
6037211000,739,868,4431,868,0.195892575,1
6037216300,742,1363,4526,1363,0.301148917,1
6037216300,743,3163,4526,3163,0.698851083,1
6037216200,745,4911,4911,4911,1,1
6037216100,747,2289,2289,2289,1,1
6037212702,749,3635,3635,3635,1,1
6037216800,752,3289,3289,3289,1,1
6037216900,753,2652,5060,2652,0.524110672,1
6037217100,755,2859,5374,2859,0.532005955,1
6037212800,758,4273,4273,4273,1,1
6037212900,759,4074,4074,4074,1,1
6037216700,762,3709,3709,3709,1,1
6037216900,763,2408,5060,2408,0.475889328,1
6037217100,764,2515,5374,2515,0.467994045,1
6037217200,765,3905,3905,3905,1,1
6037218110,766,680,3453,680,0.196930206,1
6037218110,767,1551,3453,1551,0.449174631,1
6037218120,769,2664,4530,2664,0.58807947,1
6037218300,773,3196,5520,3196,0.578985507,1
6037218300,774,2324,5520,2324,0.421014493,1
6037218210,775,4457,4457,4457,1,1
6037218220,776,2917,4358,2917,0.669343736,1
6037218220,777,1441,4358,1441,0.330656264,1
6037218110,778,1222,3453,1222,0.353895164,1
6037218120,779,1866,4530,1866,0.41192053,1
6037270200,782,1079,3761,3443,0.286891784,0.313389486
6037270300,782,2364,2364,3443,1,0.686610514
6037218400,783,4714,4714,4714,1,1
6037218500,784,2852,2869,2852,0.99407459,1
6037218600,785,3142,3142,3337,1,0.941564279
6037218701,785,178,2430,3337,0.073251029,0.053341325
6037218500,785,17,2869,3337,0.00592541,0.005094396
6037218701,787,1000,2430,1000,0.411522634,1
6037218701,788,1252,2430,1252,0.515226337,1
6037218800,789,2658,2658,2658,1,1
6037980019,801,97,173,3272,0.560693642,0.029645477
6037262601,801,3175,3660,3272,0.867486339,0.970354523
6037262400,802,278,3233,3952,0.085988246,0.07034413
6037980019,802,12,173,3952,0.069364162,0.003036437
6037262501,802,3662,3662,3952,1,0.926619433
6037262400,803,2955,3233,2955,0.914011754,1
6037262301,804,2744,2744,2744,1,1
6037262200,805,4675,4675,4675,1,1
6037262100,806,3586,3586,3586,1,1
6037261200,807,4341,4341,4341,1,1
6037261102,808,4362,4362,4362,1,1
6037261101,809,2128,3499,2128,0.608173764,1
6037980019,811,64,173,6639,0.369942197,0.009640006
6037262601,811,485,3660,6639,0.132513661,0.073053171
6037262604,811,6090,6092,6639,0.999671701,0.917306823
6037262303,812,3290,3290,3290,1,1
6037262302,813,2818,2818,2818,1,1
6037265410,814,1576,1576,1620,1,0.972839506
6037701100,814,44,746,1620,0.058981233,0.027160494
6037265420,815,1811,1811,1811,1,1
6037265303,816,4523,4523,4523,1,1
6037265202,817,1279,3611,1279,0.354195514,1
6037265301,818,9344,9344,9344,1,1
6037265100,819,2489,2489,2489,1,1
6037262704,821,5,3567,5,0.001401738,1
6037262704,822,3562,3567,3562,0.998598262,1
6037262706,823,3563,3563,3563,1,1
6037262802,824,3759,3759,3759,1,1
6037264000,825,2000,3358,2000,0.595592615,1
6037264000,826,1347,3358,1347,0.401131626,1
6037264102,827,2873,2873,5192,1,0.55335131
6037264103,827,2319,2319,5192,1,0.44664869
6037265202,828,2332,3611,4940,0.645804486,0.472064777
6037265201,828,2608,2608,4940,1,0.527935223
6037265700,829,4720,4720,4720,1,1
6037264000,831,11,3358,5688,0.003275759,0.001933896
6037264302,831,5677,5683,5688,0.99894422,0.998066104
6037264301,832,4646,4646,4646,1,1
6037265510,833,4234,4234,4234,1,1
6037265602,834,3042,3042,5932,1,0.512811868
6037265601,834,2890,2890,5932,1,0.487188132
6037267200,835,5917,5927,5917,0.998312806,1
6037267100,836,5949,6087,5949,0.977328733,1
6037265304,837,3570,3570,3570,1,1
6037265305,838,4082,4082,4082,1,1
6037267100,839,138,6087,277,0.022671267,0.498194946
6037267901,839,139,2428,277,0.057248764,0.501805054
6037267402,841,4580,4580,4580,1,1
6037267403,842,3011,3011,5817,1,0.517620767
6037267404,842,2806,2806,5817,1,0.482379233
6037267902,847,3375,3375,3375,1,1
6037267901,848,2289,2428,2289,0.942751236,1
6037216402,849,2615,2615,6804,1,0.384332745
6037216401,849,4189,4189,6804,1,0.615667255
6037267502,851,3243,3243,3243,1,1
6037267501,852,5379,5379,5379,1,1
6037267700,853,1560,2990,5240,0.52173913,0.297709924
6037267300,853,3680,3680,5240,1,0.702290076
6037267200,854,1,5927,27,0.000168719,0.037037037
6037265520,854,26,4561,27,0.005700504,0.962962963
